"a.date","a.doy","a.r.av","a.g.av","a.b.av","a.r.sd","a.g.sd","a.b.sd","a.bri.av","a.bri.sd","a.gi.av","a.gi.sd","a.gei.av","a.gei.sd","a.ri.av","a.ri.sd","a.bi.av","a.bi.sd","b.date","b.doy","b.r.av","b.g.av","b.b.av","b.r.sd","b.g.sd","b.b.sd","b.bri.av","b.bri.sd","b.gi.av","b.gi.sd","b.gei.av","b.gei.sd","b.ri.av","b.ri.sd","b.bi.av","b.bi.sd","c.date","c.doy","c.r.av","c.g.av","c.b.av","c.r.sd","c.g.sd","c.b.sd","c.bri.av","c.bri.sd","c.gi.av","c.gi.sd","c.gei.av","c.gei.sd","c.ri.av","c.ri.sd","c.bi.av","c.bi.sd"
"1",2013-04-18 14:02:00,108,152.856690111008,153.511312600627,153.118498432336,3.90259637726081,4.03652922855601,4.11665832774873,459.486501143971,11.7701247454005,0.334092760091327,0.00190347737164568,1.04743665791035,2.62510261345712,0.332673432525852,0.00166274046420086,0.333233807382821,0.00211724945364858,2013-04-18 14:02:00,108,163.583084004603,164.409122293127,163.304644837326,5.06413030612503,5.12369058649412,5.20784507977742,491.296851135056,15.0832644053755,0.334644948815083,0.00211222919512462,1.93051574432472,3.10771869847202,0.332963702890622,0.00172532576794278,0.332391348294295,0.0024076784884037,2013-04-18 14:02:00,108,169.305349375129,169.786810398398,168.503547262308,4.47807236426697,4.40117023493094,4.78415327324764,507.595707035835,13.3521996230777,0.334501393283995,0.00195590627150281,1.76472415935925,2.96235086513451,0.333546123600036,0.00157311789700154,0.331952483115968,0.00223592786065884
"2",2013-04-18 18:01:00,108,129.555224133548,136.116922294721,143.310346580798,14.1688691191092,12.3151785212469,11.1705558850931,408.982493009067,37.1683902877418,0.332849674341262,0.00376242161094604,-0.631726124904669,4.53738343418554,0.316273456049846,0.00809013727888013,0.350876869608892,0.00728419509615381,2013-04-18 18:01:00,108,145.026435819646,149.74945077937,155.632963699132,18.6547200273751,15.4463201339417,13.9472734405161,450.408850298148,47.567082581644,0.332581367127149,0.00348267410093859,-1.16049796003766,4.61327190517106,0.32122329654756,0.00978250826011535,0.346195336325291,0.00834408360389378,2013-04-18 18:01:00,108,168.277609956501,167.076330870676,168.689584340261,22.7286278120357,19.4457880218702,17.8023953138414,504.043525167438,59.4267534048801,0.331555275736102,0.00309732855144613,-2.81453255540979,4.60041877585178,0.333165672541182,0.00911822852748422,0.335279051722716,0.0078949644251314
"3",2013-04-19 08:00:00,109,163.085721549021,162.717464621642,160.547292602322,6.98857307007495,6.89945520175334,6.55794931413156,486.350478772985,20.1522247795312,0.334562406933128,0.00231780315192411,1.80191509194136,3.36850164442539,0.335312002805456,0.00214558215281538,0.330125590261416,0.00269375709445985,2013-04-19 08:00:00,109,164.758353384245,165.003891620462,163.099424626007,9.08491732378754,8.86902241825244,8.40279375782079,492.861669630715,26.14299546897,0.334780543259372,0.00211589597322788,2.15000523067266,3.11637077106712,0.334256968983512,0.00205563888949711,0.330962487757115,0.00277021915365586,2013-04-19 08:00:00,109,156.026444797349,156.702021335359,156.074785955948,10.025500647058,9.82238160877187,9.23375549679396,468.803252088656,28.8798568470383,0.334245455109254,0.00223881212500132,1.30281191742042,3.15005784882169,0.332771914256883,0.00233317741788922,0.332982630633863,0.00297486778250378
"4",2013-04-19 12:00:00,109,152.615100415219,153.042182865859,153.77932378612,2.97243324422902,3.27283933367163,3.48661107179538,459.436607067198,9.39418060598843,0.333106939647746,0.00184915374903838,-0.310058469621218,2.55290599115982,0.332189373322098,0.00164775848535182,0.334703687030156,0.00215415416250472,2013-04-19 12:00:00,109,159.681399728005,160.495501621509,160.583868605503,3.2121883604293,3.44552064042943,3.83662574310472,480.760769955016,10.077008035369,0.333839094934902,0.0020336132145423,0.725734909509363,2.93420046949375,0.332154201128922,0.00184650086723508,0.334006703936176,0.00237920038492967,2013-04-19 12:00:00,109,159.646395774356,160.060044534972,160.005601394739,2.93635957658973,3.14495257862813,3.47298665176306,479.712041704067,9.08125714947072,0.333660757271248,0.00212556418335641,0.468091900849271,3.05815374414727,0.332804749616559,0.00184792056223034,0.333534493112193,0.00233511968935224
"5",2013-04-19 16:00:00,109,143.048267096009,141.297720532158,140.185289382256,5.17011230751289,5.32193359072796,5.51947764147539,424.531277010423,15.6639627913267,0.332831882035176,0.00251887198044247,-0.638115413947971,3.17876231194504,0.336975237811908,0.00256900608771206,0.330192880152916,0.00290538384213761,2013-04-19 16:00:00,109,153.675593681347,151.628350245842,150.193785960875,6.02763147260811,5.81082904979362,5.71008701991694,455.497729888064,17.2149811055208,0.332885898189219,0.00229305399527013,-0.612679150538759,3.13337051501975,0.337370737206466,0.00250983023762455,0.329743364604315,0.00268536321355217,2013-04-19 16:00:00,109,165.042342746669,161.241645377339,158.433257957605,7.38962422830211,6.90213423910824,6.70590492416358,484.717246081613,20.6098018942306,0.332655727659831,0.0024430872694396,-0.992309949596078,3.544988959501,0.340470938906574,0.00303279633191433,0.326873333433595,0.00290190688427147
"6",2013-04-19 20:00:00,109,24.4753495466486,17.4000677908652,21.5632234556394,4.03547459182549,3.09199556532268,3.65147302962255,63.4386407931531,9.36907279830032,0.274585645779782,0.0297870786247458,-11.2384374205576,5.89122817854945,0.385919975007651,0.0306995651497538,0.339494379212567,0.0240346771701932,2013-04-19 20:00:00,109,25.1591902918715,17.9929281305576,22.4069567946438,4.16559362428586,3.14810203069656,3.84515754166492,65.5590752170729,9.69422986580657,0.274869682681465,0.0296547056109675,-11.5802908254001,6.15074358197196,0.383832038596226,0.0303795758806624,0.341298278722309,0.0241840926229391,2013-04-19 20:00:00,109,26.3532935165366,18.8738348408479,23.5503521369882,4.18418079232691,3.24547530359729,3.95964801959869,68.7774804943727,9.95713996868175,0.274727091122094,0.0282247093411738,-12.155975971829,6.09591167497878,0.383363316993114,0.0289748068624012,0.341909591884793,0.0235578916692957
"7",2013-04-20 08:00:00,110,132.617828997543,130.760816879925,136.051165155495,5.24985843205474,5.01799252120724,5.44216131030686,399.429811032963,15.4802564299243,0.327382486368931,0.00238357963052488,-7.14736039318702,2.89348248455652,0.332010928225536,0.00160793877574513,0.340606585405533,0.00265875788820011,2013-04-20 08:00:00,110,147.438916204624,145.269139031279,150.510555497437,2.91686127769964,2.76432918920387,3.06541685290861,443.21861073334,8.46980596150902,0.327764394229469,0.00169913932817001,-7.41119363950204,2.28034356225677,0.332652758480334,0.00118567117081987,0.339582847290196,0.00198924074333253,2013-04-20 08:00:00,110,148.071074708279,145.867456673341,151.041488296624,2.39585146850657,2.2243118817984,2.70122769695883,444.980019678243,7.01285052937556,0.327813735865938,0.00169814883417172,-7.37764965821998,2.29861919126888,0.332758991881243,0.00123436209864304,0.339427272252819,0.00186166833088921
"8",2013-04-20 12:00:00,110,134.879027201085,134.419506821456,137.935717312092,4.25189525380083,4.30762179309103,4.42885132000656,407.234251334633,12.7261936964863,0.330078252985446,0.00222813775405373,-3.97573087026523,2.71225661647273,0.331208108037725,0.00151075720769697,0.338713638976829,0.00255007780079394,2013-04-20 12:00:00,110,144.603347630505,144.344868710116,147.168291662308,2.01098711559055,1.89821181375187,2.22536294503728,436.116508002929,5.78769789172246,0.330982354427028,0.00164218146410251,-3.08190187258081,2.15886577698766,0.331569141464089,0.00102378250462066,0.337448504108883,0.00193509538330858,2013-04-20 12:00:00,110,145.706681971967,145.298479251536,148.093307671063,1.46933706362826,1.40207361233434,1.79631883419487,439.098468894566,4.23206692375988,0.330905890429062,0.00164921458355405,-3.20303113995719,2.1837116322808,0.331831425903941,0.000979259822635534,0.337262683666997,0.00184902472021833
"9",2013-04-20 16:00:00,110,152.884280993136,151.740954156427,158.936463011609,5.49947130568725,5.40337731538928,6.41074099927836,463.561698161173,17.1439167361566,0.327358117040131,0.00172790485429263,-8.33883569189052,2.5406152968466,0.329817687110735,0.00115132832262549,0.342824195849135,0.00249864463264494,2013-04-20 16:00:00,110,166.180374516163,164.868323046344,172.825713986819,4.08071692229247,4.12115473782033,4.46199126941791,503.874411549325,12.3402640693231,0.327202230095844,0.00182473903186834,-9.26944241029396,2.76810609961396,0.329806902580279,0.00121305063946618,0.342990867323878,0.00246004446536422,2013-04-20 16:00:00,110,168.107626182421,166.646861838017,174.540090105641,3.11091759559069,3.16296673820465,3.43578155913618,509.294578126079,9.31022424250984,0.3272117802134,0.00179328246783883,-9.35399261202789,2.74710172165161,0.33008012178779,0.00118765208452123,0.34270809799881,0.0023032338820883
"10",2013-04-20 20:00:00,110,22.5069909329718,17.2405050419456,21.4132870095755,3.78243742352194,2.94352876981007,3.65786374424395,61.1607829844928,9.05187489340901,0.282355678848362,0.0285574821134497,-9.43926785865605,5.50871148729099,0.367928164755585,0.0290661948165723,0.349716156396054,0.0259302674490407,2013-04-20 20:00:00,110,23.1333403075636,17.9866617847055,22.345057014332,3.76494006763358,3.06995438443931,3.85118004371704,63.4650591066011,9.38850582634979,0.283826467431077,0.0282602712828281,-9.50507375248457,5.60585348661133,0.364610579834637,0.027019044020018,0.351562952734286,0.0258739086139274,2013-04-20 20:00:00,110,24.2700925222675,18.7873455085272,23.4830922460816,3.9295094320562,3.17391239260437,3.99183426985303,66.5405302768763,9.77100893837757,0.282766930548698,0.0277447539118217,-10.1784937512946,5.80686511605957,0.364795755845528,0.0266049705915582,0.352437313605774,0.0249552182536009
