"a.date","a.doy","a.r.av","a.g.av","a.b.av","a.r.sd","a.g.sd","a.b.sd","a.bri.av","a.bri.sd","a.gi.av","a.gi.sd","a.gei.av","a.gei.sd","a.ri.av","a.ri.sd","a.bi.av","a.bi.sd","b.date","b.doy","b.r.av","b.g.av","b.b.av","b.r.sd","b.g.sd","b.b.sd","b.bri.av","b.bri.sd","b.gi.av","b.gi.sd","b.gei.av","b.gei.sd","b.ri.av","b.ri.sd","b.bi.av","b.bi.sd","c.date","c.doy","c.r.av","c.g.av","c.b.av","c.r.sd","c.g.sd","c.b.sd","c.bri.av","c.bri.sd","c.gi.av","c.gi.sd","c.gei.av","c.gei.sd","c.ri.av","c.ri.sd","c.bi.av","c.bi.sd"
"1",2015-04-30 04:08:00,120,27.3546640365259,14.6964212231461,19.1607412294166,9.44294950867711,6.89083560302847,8.00693517289996,61.2118264890886,21.4900143520333,0.232334571796207,0.0738281204077725,-17.1225628196503,10.7240459562354,0.459463474444057,0.104309048639901,0.308201953759736,0.0771162681851993,2015-04-30 04:08:00,120,25.6890007690434,14.0985999589207,18.081494714618,9.22556946178912,6.84818647433991,7.91436451027493,57.8690954425821,21.3470061575872,0.234741596150058,0.0762281837119996,-15.5732955658201,10.1300436293298,0.458573661100885,0.109261292696755,0.306684742749056,0.0810409515991743,2015-04-30 04:08:00,120,22.6906193172343,13.4853766805104,17.1962732968578,8.86776984658674,6.81924402348095,7.76552362378378,53.3722692946025,21.2836592030955,0.242282940759021,0.0796466724018361,-12.9161392530712,9.10656328266186,0.440282731976967,0.112925693313139,0.317434327264011,0.0847004086373396
"2",2015-04-30 04:38:00,120,28.2942709524027,15.6323246046624,20.7262977066827,9.55503898923383,6.96636956057079,8.3055756233193,64.6528932637478,21.6282317441183,0.235516647229021,0.0712390514503759,-17.7559194497606,11.2855886485077,0.447521448359483,0.0981542293981711,0.316961904411496,0.0771081265425521,2015-04-30 04:38:00,120,26.6665982011072,15.0251395980912,19.7141260371338,9.2718369643653,6.90218488244109,8.0839626093376,61.4058638363323,21.3913373226337,0.237022891896574,0.0722305037824187,-16.3304450420586,10.4700916389172,0.445544072590214,0.101028387887442,0.317433035513212,0.0789994252156949,2015-04-30 04:38:00,120,23.5719889779161,14.3096149417529,18.544402004304,9.04829215345103,6.90066280302213,7.9546673244358,56.426005923973,21.4445820451125,0.245107078447292,0.0774624526219683,-13.4971610987144,9.72081573369197,0.42907242147312,0.106196708335427,0.325820500079587,0.0838818189711271
"3",2015-04-30 05:08:00,120,79.660424436795,84.5985551643729,84.7265459153347,12.370378815907,11.6800065570136,12.9456773896311,248.985525516503,33.7859852810187,0.340140438250704,0.0189996592841296,4.81013997661613,13.4989704296932,0.319792467782192,0.0228673981085613,0.340067093967104,0.0211169834017599,2015-04-30 05:08:00,120,84.3531867533472,87.3451428462248,85.6235365486671,14.491025919577,13.8204991617188,15.0020787964853,257.321866148239,40.2891782894399,0.339813085859199,0.0195259629094176,4.7135623904352,13.9671123289046,0.327805320819144,0.024029320280681,0.332381593321656,0.0219321138963701,2015-04-30 05:08:00,120,75.2086334363014,81.9908559585163,80.6457011490602,14.2841776912147,13.0395631592717,14.4171961358162,237.845190543878,38.3361990623423,0.345465647951681,0.0215018058258762,8.12737733167102,14.3294318017643,0.315596205190307,0.0264310033022463,0.338938146858012,0.0254107862481685
"4",2015-04-30 05:38:00,120,139.593780413725,122.953728681816,79.1339085677708,42.1434863625705,38.8554294413406,37.6431876173597,341.681417663311,116.784060764632,0.363786163884363,0.0386838205149463,27.1797683821368,18.683366806191,0.420428325157233,0.060458459888917,0.215785510958404,0.0561538938749743,2015-04-30 05:38:00,120,154.80699399573,128.990919556152,82.5899709100983,50.8283440688409,47.5050129587652,45.1704961664281,366.38788446198,141.305353623446,0.353612812230358,0.0492031513449076,20.5848742064762,20.4973759337713,0.443133491646059,0.0833207662081484,0.203253696123583,0.0676246980174357,2015-04-30 05:38:00,120,132.37647801539,117.811266666137,72.6185747524399,49.1464400690773,44.3160414764012,42.168392123773,322.806319433967,133.177246433751,0.373268085212491,0.0572068019646846,30.627480564445,20.8910123076466,0.425132104526583,0.0746489184308604,0.201599810260925,0.0701581019579129
"5",2015-04-30 06:08:00,120,157.184974232023,117.578221650326,55.8111785338707,41.3554152557386,37.0998517695627,34.1008774582915,330.57437441622,110.368248339752,0.357023243349526,0.0370808339362237,22.160290534759,19.9295551049576,0.493290894883376,0.0705930683742772,0.149685861767097,0.0628068020278896,2015-04-30 06:08:00,120,173.710276043582,124.761190536467,60.8988063109324,49.1997588874088,45.6115972770751,40.7968519001934,359.370272890982,132.798033819305,0.344981635009054,0.0471815022508379,14.9132987184203,22.2658725822448,0.509457887896655,0.0896400556697521,0.145560477094291,0.0698983375545611,2015-04-30 06:08:00,120,150.160542845572,114.018566017359,52.2379475736328,48.633594601092,42.7499326927843,38.1849095269233,316.417056436563,126.717093354018,0.362735100556441,0.0483256729032792,25.6386416155135,22.0914547547303,0.498142320218043,0.0825058389160235,0.139122579225517,0.0718709661082974
"6",2015-04-30 06:38:00,120,148.870846587458,117.731399047663,64.9111282389596,31.1923437132878,27.2303266496638,26.1641191394221,331.51337387408,83.1652513063033,0.35723036381367,0.0187863471885141,21.6808232689079,13.6499978392342,0.455808391867291,0.0388844496345071,0.186961244319039,0.040517851382099,2015-04-30 06:38:00,120,162.585805656529,122.759475713037,67.3101203242402,39.2767787239662,34.5342770529427,32.5792078639082,352.655401693806,104.689335496742,0.349716165060066,0.024404466864212,15.6230254453048,15.1863323917432,0.472962652837363,0.0549980282686158,0.177321182102571,0.0517797850288473,2015-04-30 06:38:00,120,142.0768845937,113.388214787698,60.491765201026,37.7599086195276,32.1479543714584,30.404644635686,315.956864582423,98.5377924030676,0.362661652325422,0.0250158225122529,24.2077797806701,14.7049569698026,0.459636611178031,0.0487029797106149,0.177701736496547,0.0519871566003434
"7",2015-04-30 07:08:00,120,149.14610998256,117.856496208286,64.6739322129108,31.7248402684272,27.8289131367089,26.5524666802561,331.676538403757,84.6313422645464,0.357412483197948,0.0193637984162669,21.8929502211017,13.9022536345322,0.456887031698061,0.0406094259433129,0.185700485103991,0.0418898862276041,2015-04-30 07:08:00,120,162.25076068421,122.252346537633,66.5446690008646,39.9947184724529,35.2183385112571,32.9843494474015,351.047776222707,106.446898915439,0.349734410622632,0.0258202907289098,15.7092633901916,15.5211682422441,0.474996751034551,0.0575705948464316,0.175268838342817,0.0533809724223665,2015-04-30 07:08:00,120,142.612849303973,113.790437468732,60.4504442979774,38.1617824433289,32.6336211379695,30.7349748636155,316.853731070683,99.7089910899884,0.362865958448997,0.0253767934066658,24.5175813355145,14.9528621438971,0.460538518348568,0.0501370111736575,0.176595523202435,0.0530339841712946
"8",2015-04-30 07:38:00,120,149.990156567405,117.72616707055,63.9892159872499,32.3291454227553,28.5604038507403,27.0722022252617,331.705539625205,86.4865479670326,0.35690844730839,0.0194659578359665,21.4729615864452,13.8444925476491,0.46011722003094,0.042687900923247,0.18297433266067,0.0436990528563111,2015-04-30 07:38:00,120,162.252671350985,121.201432044748,65.1476515517002,40.5908767589694,35.8022975147606,33.2638362737082,348.601754947433,107.877091162952,0.348907645587689,0.0270814567940052,15.0025411868107,15.6733881925811,0.47935049215299,0.0605059933096885,0.171741862259321,0.0551968999150776,2015-04-30 07:38:00,120,142.816634770386,113.037576729745,59.2109879376474,38.4777390049956,33.0826293679543,30.9268335474035,315.065199437778,100.642106148368,0.362323734791053,0.0260507989629539,24.0475307514552,15.124187237514,0.464714921994783,0.0528012599352932,0.172961343214164,0.0547084330377616
"9",2015-04-30 08:08:00,120,148.077911389511,118.036016381771,64.6289999150865,31.1337016777608,27.3973287779722,26.103198458902,330.742927686369,83.1481519863415,0.358966159730412,0.0191517726807822,23.3651214589443,13.8388998064192,0.454623590186759,0.0397785878764634,0.186410250082829,0.0412385086348414,2015-04-30 08:08:00,120,160.78770103797,121.999484119971,66.2766788790118,39.6592918315138,35.0114612197046,32.6876498100443,349.063864036952,105.597054608095,0.351039062979092,0.026015352437129,16.93458832296,15.5231479274878,0.473328714921697,0.0574425999106406,0.175632222099211,0.0533884951310083,2015-04-30 08:08:00,120,140.963967791375,113.331722637359,60.0997347711806,38.1296548290439,32.8531390940447,30.7501556692937,314.395425199914,99.8954372632918,0.364253040936803,0.0260303152466697,25.5997427121632,14.9762319602451,0.459156954725856,0.0511776265249731,0.17659000433734,0.0539274448959366
"10",2015-04-30 08:38:00,120,151.481746866366,118.55210748741,63.8373514830467,30.1642432793963,26.1465359049604,25.0088768910276,333.871205836822,79.8122282973354,0.35696934956636,0.0181024801686362,21.7851166254074,13.6596965451636,0.459923320241431,0.0377060274935444,0.183107330192209,0.0389515535338264,2015-04-30 08:38:00,120,164.324760808403,122.579414476167,65.3805952682337,38.4716507238971,33.647188809144,31.6341461392509,352.284770552804,101.985385041408,0.349467770118315,0.0237525433033406,15.4534728756968,15.2996342592528,0.478057640801359,0.0544338937913767,0.172474589080325,0.0512167751611261,2015-04-30 08:38:00,120,143.041702070214,112.810960938307,58.4745332687467,37.2168740365986,31.5285820204485,29.6328313021374,314.327196277267,96.5342117960455,0.362491559900416,0.0242951544746683,24.1056865376522,14.6130077756365,0.465086772117244,0.0489980213375846,0.17242166798234,0.0520674186349622
