"a2.date","a2.doy","a2.r.av","a2.g.av","a2.b.av","a2.r.sd","a2.g.sd","a2.b.sd","a2.bri.av","a2.bri.sd","a2.gi.av","a2.gi.sd","a2.gei.av","a2.gei.sd","a2.ri.av","a2.ri.sd","a2.bi.av","a2.bi.sd","b2.date","b2.doy","b2.r.av","b2.g.av","b2.b.av","b2.r.sd","b2.g.sd","b2.b.sd","b2.bri.av","b2.bri.sd","b2.gi.av","b2.gi.sd","b2.gei.av","b2.gei.sd","b2.ri.av","b2.ri.sd","b2.bi.av","b2.bi.sd","c2.date","c2.doy","c2.r.av","c2.g.av","c2.b.av","c2.r.sd","c2.g.sd","c2.b.sd","c2.bri.av","c2.bri.sd","c2.gi.av","c2.gi.sd","c2.gei.av","c2.gei.sd","c2.ri.av","c2.ri.sd","c2.bi.av","c2.bi.sd"
"1",2015-08-04 12:01:00,216,149.155237880218,130.982287262428,60.8488978284964,23.8700417568118,18.4476165808425,18.8680001122607,340.986422971142,59.9404225347263,0.386667003590133,0.0189889422408292,51.9604388161406,13.1681255660036,0.438996620435175,0.0188514819286535,0.174336375974692,0.0259658871488036,2015-08-04 12:01:00,216,154.297296553243,134.113588811805,61.736778713798,28.3630713225181,23.6217219633406,23.6092340645511,350.147664078846,74.1827676512243,0.386343661861696,0.0214416443002044,52.1931023565687,14.5872525091745,0.444035819662373,0.0260079057315281,0.16962051847593,0.0348725750502133,2015-08-04 12:01:00,216,143.666617769628,129.768994832472,60.3203867311219,29.6046822410847,24.7612992384501,24.3147240396298,333.755999333222,77.1995478857503,0.393002429088354,0.0231054276923014,55.550985164194,12.9746364786398,0.433832228292157,0.0265346853729246,0.173165342619489,0.0376081783994026
"2",2015-08-04 12:31:00,216,139.549228274701,123.047175813801,59.7327593284348,23.5204975612122,18.3239971449664,18.5621825084427,322.329163416937,59.2967522835122,0.384370438429276,0.0187718321201545,46.8123640244653,12.1771376269602,0.434521285472408,0.0185466667839953,0.181108276098315,0.0256488285508486,2015-08-04 12:31:00,216,152.831158462724,133.429915482876,65.3720405241713,28.6637366825833,24.0935600119713,23.9217798279906,351.633114469772,75.3581968802476,0.382602416141568,0.0202382975629931,48.656631978857,13.8680779345139,0.437832857503613,0.0249357182666169,0.179564726354819,0.0330426462326056,2015-08-04 12:31:00,216,148.083760626771,134.126561093516,67.7388031338556,29.7822821368195,24.9851592559321,24.4279533844232,349.949124854142,77.7333648741653,0.386765276480784,0.0202459438602662,52.4305584264044,12.3018300159765,0.425889895644477,0.0243508085397646,0.187344827874739,0.0329837936833058
"3",2015-08-04 13:01:00,216,133.443434177579,118.206344156644,55.1413427199212,22.8719973274019,18.0055733469392,18.3244648263701,306.791121054144,58.0837608007746,0.388206041002724,0.0202252437813352,47.8279114157875,12.3595047680821,0.436856353330806,0.0198941297913536,0.17493760566647,0.0281812231095822,2015-08-04 13:01:00,216,148.519257240392,130.27682111001,62.4086279044158,28.5869964759509,24.0335365928518,23.8597054219072,341.204706254818,75.1593741885904,0.385286828874372,0.0215372677562854,49.625757075212,14.0558188181707,0.438724838505598,0.0258564525226396,0.175988332620031,0.0349852563893699,2015-08-04 13:01:00,216,148.135649274879,134.910118353059,67.8455475912652,29.3996967385185,24.6673474893749,24.2977055302552,350.891315219203,76.8780300847746,0.387975422402454,0.0205030728405209,53.8390398399733,12.5628489009519,0.42485957212138,0.0244106580084399,0.187165005476166,0.0331291687455249
"4",2015-08-04 13:31:00,216,133.611705184516,118.408172899306,55.5832170272156,22.5831025759772,17.9786122134733,18.2669942311785,307.603095111038,57.7088443665931,0.387735557824201,0.0199071570625722,47.6214235868807,12.3209986756389,0.436279070093826,0.0197081768820371,0.175985372081973,0.0279547536183283,2015-08-04 13:31:00,216,149.171160940425,130.926660059465,63.2804550710274,28.9326269487362,24.5859797055935,24.2491292068978,343.378276070917,76.4403714297989,0.384719687156176,0.0212662310882523,49.4017041074772,13.9771421256212,0.437999410118708,0.0261409461357469,0.177280902725116,0.035155652602634,2015-08-04 13:31:00,216,151.973728954826,138.529608268045,71.013148858143,29.7913417083043,25.2048399660841,24.7565376026155,361.516486081014,78.2638104879047,0.386482995829683,0.0196848218538945,54.0723387231205,12.5204845548042,0.423001605502979,0.0239508612107599,0.190515398667337,0.0321314408350018
"5",2015-08-04 14:01:00,216,130.906869586634,116.038381018842,52.3205943926768,21.8589157158745,17.7511682191107,17.8966179588044,299.265844998153,56.3404002247765,0.390592503332126,0.0206440184570837,48.849298058372,12.5087032669299,0.439643472678985,0.0208327853871881,0.169764023988889,0.0298436168398548,2015-08-04 14:01:00,216,146.117236537826,128.305493613038,60.2600346878097,28.6068820573202,24.5609103155901,24.0418901212958,334.682764838674,75.9030974344429,0.387003108697331,0.0221806975550203,50.2337160004405,13.9947061889473,0.440580083898766,0.0273921004373745,0.172416807403903,0.0373915368463457,2015-08-04 14:01:00,216,150.430625104184,137.08389398233,69.0703517252876,29.5635728630971,25.0619928891793,24.6222185994431,356.584870811802,77.7599383264542,0.387848794060287,0.0202529625077661,54.6668111351892,12.5460349726537,0.424664360988329,0.024689850432206,0.187486844951384,0.0332580827268861
"6",2015-08-04 14:31:00,216,128.543522433398,114.386786256722,49.7302861130495,21.4896362083558,17.9006605647941,17.8390722513896,292.660594803169,56.0072013527489,0.393825144272104,0.0216874211565499,50.4997639669964,12.884068855123,0.441820468503774,0.0222513383624583,0.164354387224122,0.0322148384501024,2015-08-04 14:31:00,216,142.892247549829,125.822782457879,57.6504239621187,28.8871682315571,25.1579093351661,24.3965532824682,326.365453969827,77.1260307814891,0.389520276452475,0.0234876952001651,51.1028934038102,14.1568379981358,0.442496666011235,0.0295560842071665,0.16798305753629,0.0405786985673113,2015-08-04 14:31:00,216,147.859263210535,135.015835972662,67.022350391732,30.0645662200845,25.7195026134834,25.1254933792146,349.897449574929,79.4422888552096,0.38963981208093,0.0214088448056636,55.1500583430572,12.5877108453873,0.425811266405269,0.0261271766913734,0.184548921513801,0.0358286526682286
"7",2015-08-04 15:01:00,216,125.521407167193,112.07787036657,46.7432063544189,20.7537566063088,17.7946359294539,17.3387662066546,284.342483888182,54.5890481402099,0.39713370237251,0.0222609214150805,51.8911272115266,13.1124674931136,0.444396981710538,0.023762936545456,0.158469315916952,0.0340889260686832,2015-08-04 15:01:00,216,138.195297874683,122.048060510957,54.0424788018941,28.0680908529646,24.8036259216807,23.7179054730338,314.285837187534,75.2822543379429,0.392471575906667,0.0241489919198065,51.8583443453364,13.8860941302883,0.444840023628636,0.0309367889411333,0.162688400464697,0.0426481792863889,2015-08-04 15:01:00,216,142.348618103017,130.133795632605,62.8338189698283,29.5311962994535,25.3363879960963,24.5886403178697,335.316232705451,78.0136419851558,0.392159682810324,0.022644023564534,55.0851541923654,12.5062565845012,0.428092372264477,0.0274471519745346,0.179747944925199,0.0379672338124018
"8",2015-08-04 15:31:00,216,126.385051927261,118.276158614178,49.7612885349534,19.6533199091979,17.4155405790054,16.5182195826361,294.422499076393,52.1015174832992,0.404369228612921,0.0220718874536107,60.4059767661426,13.9102200870476,0.431497467395877,0.0206396780697366,0.164133303991202,0.0311810645116197,2015-08-04 15:31:00,216,135.561632804757,125.228258176412,55.0254308446206,25.6215412310104,23.1025171876706,21.9044446203492,315.81532182579,69.2435465064349,0.400387784304471,0.0245589767202198,59.8694527034468,14.5511917536227,0.433171512506403,0.026824587880705,0.166440703189126,0.0393664242401019,2015-08-04 15:31:00,216,135.348344724121,128.895655942657,60.7933655609268,26.9955690445706,22.937642953875,22.2453450768995,325.037366227705,70.676853177289,0.400566769018274,0.0236442502913437,61.6496016002667,12.9447209122696,0.418893325330695,0.0241493258317802,0.180539905651031,0.0348554319144357
"9",2015-08-04 16:01:00,216,129.872039325151,118.838645786298,47.9927445507163,19.5051591278067,17.2796644897319,16.1512768738201,296.703429662165,51.3883947927996,0.402970249453873,0.0215311335237763,59.8125076967284,14.0048336825901,0.440080887553894,0.0215560886037305,0.156948862992233,0.0312087358843365,2015-08-04 16:01:00,216,136.814764343134,123.638448408766,51.6853801894065,25.5291724499461,23.0293966268685,21.5735790018905,312.138592941306,68.7230829977421,0.399869676816829,0.0241862903167396,58.7767522849906,14.4441084504314,0.442724776928553,0.0285741160778223,0.157405546254618,0.0408816634029559,2015-08-04 16:01:00,216,134.312778796466,125.320206701117,55.9709484914152,27.4656998625351,23.3871769245099,22.388390840453,315.603933988998,71.737640849414,0.401452949427068,0.0247214285665362,60.3566861143524,12.8938527912681,0.428823640861423,0.0265325645236619,0.16972340971151,0.0386558777580935
"10",2015-08-04 16:31:00,216,129.215487869956,117.725483354542,46.515054800706,22.8689608432308,21.6325279191366,18.996090136634,293.456026025204,62.0853931825147,0.404283783151327,0.023039879951934,59.7204240384221,14.3187734278482,0.444734442132086,0.0278581353116149,0.150981774716587,0.0396260793852516,2015-08-04 16:31:00,216,134.348399130052,121.10235656866,50.1625922255258,30.194327846477,28.3688302175635,25.3217982757705,305.613347924237,82.5171436719668,0.401240232613499,0.0270942793209159,57.6937217817421,14.7473601020809,0.447153924651533,0.0367395205122624,0.151605842734968,0.0508327835612282,2015-08-04 16:31:00,216,132.637252875479,123.002753792299,54.8295715952659,31.8754753859863,28.3501279052073,26.1247339884192,310.469578263044,84.8984878756254,0.402089774716161,0.0281993369266149,58.5386831138523,13.3561539843364,0.432891282230865,0.0326635586029114,0.165018943052974,0.0481976224484788
