"a.date","a.doy","a.r.av","a.g.av","a.b.av","a.r.sd","a.g.sd","a.b.sd","a.bri.av","a.bri.sd","a.gi.av","a.gi.sd","a.gei.av","a.gei.sd","a.ri.av","a.ri.sd","a.bi.av","a.bi.sd","b.date","b.doy","b.r.av","b.g.av","b.b.av","b.r.sd","b.g.sd","b.b.sd","b.bri.av","b.bri.sd","b.gi.av","b.gi.sd","b.gei.av","b.gei.sd","b.ri.av","b.ri.sd","b.bi.av","b.bi.sd","c.date","c.doy","c.r.av","c.g.av","c.b.av","c.r.sd","c.g.sd","c.b.sd","c.bri.av","c.bri.sd","c.gi.av","c.gi.sd","c.gei.av","c.gei.sd","c.ri.av","c.ri.sd","c.bi.av","c.bi.sd"
"1",2015-01-01 09:00:00,1,135.801739807842,137.343035422427,138.699482181863,29.4764227103746,25.8737951275148,22.0996417424516,411.844257412131,76.8409731845292,0.33339472026744,0.00406518676332825,0.184848855148395,4.74318833258075,0.327903675841532,0.0141362571907689,0.338701603891028,0.01419624667376,2015-01-01 09:00:00,1,144.989576465229,144.365213325821,146.055186592661,36.725093250141,33.9003587216939,31.0066783469037,435.409976383711,101.111239152205,0.331401360993898,0.00748484913661571,-2.31433640624813,6.2383470792165,0.331087135163225,0.0159543462017075,0.337511503842877,0.0156136214273138,2015-01-01 09:00:00,1,140.505146392192,141.720302917178,143.647624126713,27.5774698765953,24.5177595542525,21.4095056995499,425.873073436083,73.044165326541,0.332712440439384,0.00356254316182753,-0.712164684550157,4.07971489184608,0.328446574426777,0.0122722650352493,0.338840985133839,0.0126550591863818
"2",2015-01-01 10:00:00,1,137.145279301022,139.049238547665,138.904310568683,21.8990364631012,20.7793223032072,19.06025054268,415.098828417371,61.4710314220859,0.334913558575836,0.00339286852103332,2.04888722562512,3.98109076452445,0.329817824871681,0.0069167636309039,0.335268616552483,0.00692773680091636,2015-01-01 10:00:00,1,148.907045326492,148.999874126377,149.343940683554,23.4252743156559,22.8758891912525,21.858651536454,447.250860136423,67.9682312033895,0.333088657694263,0.00556443547996648,-0.251237757291679,4.4446128225575,0.332619948477928,0.00668233908443177,0.334291393827809,0.0064077240298797,2015-01-01 10:00:00,1,140.644690949816,142.112058023572,142.547170817556,18.8961483728939,18.1295733335159,16.9889757622193,425.303919790944,53.8134673158972,0.334104928537319,0.00282381569612053,1.03225427977175,3.43226625424297,0.330361306455311,0.00502119621505128,0.33553376500737,0.00537679680071231
"3",2015-01-01 11:00:00,1,138.396833519178,139.74787297417,139.679052041487,16.5816995975538,16.1357355609294,15.2183890776286,417.823758534834,47.7241089728943,0.334421174803108,0.00281155187437773,1.41986038767623,3.39663009970399,0.331054103137695,0.0045256262762608,0.334524722059198,0.00457263092557927,2015-01-01 11:00:00,1,146.869211311843,146.935103156431,147.828326360334,17.678406606279,17.5869977621521,17.0885269948107,441.632640828608,52.2091339677675,0.332640901594367,0.0045227476466515,-0.827331359315248,3.66535368808841,0.33250661971623,0.00534877602282828,0.334852478689403,0.00450723775891217,2015-01-01 11:00:00,1,139.974294704282,141.141464455229,141.805301050611,15.1416997604895,14.8379851619517,14.3606198773413,422.921060210122,44.1841863472831,0.333714158465119,0.00245794820341948,0.503333155565037,2.9992634225793,0.330864462116315,0.00345442691299045,0.335421379418566,0.00375718990552496
"4",2015-01-01 12:00:00,1,139.61299586051,140.122321169444,140.544931033956,15.4534504010269,15.36366033689,15.0433925836992,420.28024806391,45.6586766304951,0.333370656821164,0.00272346449968901,0.0867154444223807,3.24659262039602,0.332183113688549,0.00435725268561058,0.334446229490287,0.00446244529440547,2015-01-01 12:00:00,1,147.786943908316,147.089843796828,148.529124758742,16.3930001687825,16.4657295004045,16.2388240303818,443.405912463886,48.9597198275318,0.331644390602314,0.00420210406961371,-2.1363810734023,3.48443374634182,0.333343799558634,0.00492414321374384,0.335011809839052,0.00411503395488329,2015-01-01 12:00:00,1,141.643997653458,141.977633192896,143.009460828756,14.3767782919218,14.3382393178069,14.238590064453,426.631091675111,42.8125875442767,0.332754017583003,0.00274224909987832,-0.698192096421524,2.82992769678618,0.332038750026873,0.00444750664257753,0.335207232390124,0.0038233219420113
"5",2015-01-01 13:00:00,1,139.330716238716,139.505705164434,140.010730597095,17.391820745643,18.0379533880638,18.144498009806,418.847152000244,53.3612508723226,0.332953560601059,0.00328109118234224,-0.330036506942429,3.35450598633991,0.333021700279676,0.00719390618393289,0.334024739119265,0.00629665788939416,2015-01-01 13:00:00,1,147.876062433317,147.051452341849,148.560677080211,18.2003154115385,18.5675394703672,18.60016589594,443.488191855377,55.2180858821931,0.331449390091279,0.00466132218806246,-2.33383482983085,3.8417739010335,0.333641862748069,0.00622634635260907,0.334908747160652,0.00447500220625901,2015-01-01 13:00:00,1,142.002122553464,142.187254013119,143.438131299664,16.7377239303325,17.0761045347503,17.2075591080174,427.627507866247,50.8643285862851,0.332429774714086,0.0029694232688479,-1.06574582688923,2.97089425436831,0.332258525516592,0.0056392374877924,0.335311699769322,0.00524110119070445
"6",2015-01-01 14:00:00,1,137.435860815373,136.668275619778,136.834282921166,22.2484989752672,23.7425456925546,24.4001589142634,410.938419356317,70.1234056732302,0.332272464117605,0.00448250271856226,-0.933592496983213,3.72976641545455,0.335669274970692,0.012031937050623,0.332058260911702,0.0102762565291367,2015-01-01 14:00:00,1,148.603270316602,146.661945406812,147.924337964683,23.5950919605412,24.4781650486912,24.758548821377,443.189553688097,72.6122030127354,0.330621955525077,0.00639573723854632,-3.20371746766247,4.91768647369739,0.335986578996954,0.00951557473387851,0.333391465477969,0.00692231494565935,2015-01-01 14:00:00,1,142.406463655272,141.737475334649,142.866161804704,22.0832446418544,22.7666484019746,22.9723190386012,427.010100794624,67.5952582919856,0.331706418567824,0.0038900465262647,-1.79767479067783,3.30587739688439,0.334048956650391,0.00987858545094465,0.334244624781785,0.00862603427119905
"7",2015-01-01 15:00:00,1,133.794965402416,132.691638535445,132.860540424947,27.5418932650218,29.4343602078097,30.3080197564839,399.347144362809,86.8323475729323,0.3317790222932,0.00532985309189177,-1.27222875647273,4.27518067881511,0.337140476832054,0.0176384677703274,0.331080500874746,0.0156194029045425,2015-01-01 15:00:00,1,149.215501636357,146.66481652421,147.186736516537,29.98703284294,31.018014479531,31.1799340370278,443.067054677104,91.8083776596879,0.330545128991228,0.00761199599247235,-3.07260510447511,5.82338091356585,0.33790440376954,0.0136687894430841,0.331550467239232,0.0109875197536169,2015-01-01 15:00:00,1,142.106213001973,141.384384832809,142.384395498907,26.8857269616763,27.4510304949196,27.6144896324065,425.874993333689,81.5034344753673,0.331722139773442,0.0039349907045336,-1.72183883526212,3.82485948051724,0.334478747466589,0.0136758587315709,0.333799112759969,0.0128630780171918
"8",2015-01-01 16:00:00,1,127.241029831824,141.593062153451,169.983358027709,25.667799107733,29.248946754318,34.7957361754944,438.817450012984,89.550804161722,0.322310550858391,0.00484475287621035,-14.0382635526296,4.76024288440455,0.290289470942094,0.00645079400532716,0.387399978199515,0.0080296411722588,2015-01-01 16:00:00,1,132.594417205126,147.309960799357,177.904623757747,24.1194643054079,26.6656379954738,30.7558197684709,457.809001762231,81.349263314491,0.321279842008869,0.0073663629150782,-15.8791193641584,4.96968880214097,0.289105402778865,0.00878958145046066,0.389614755212267,0.0138526160687157,2015-01-01 16:00:00,1,137.993824329369,153.038803263826,184.583936856701,21.020498942073,23.5874799234712,27.9637445894711,475.616564449896,72.4401067990464,0.321565424678615,0.00346936137086763,-16.5001546584182,4.01830765116784,0.290169195912407,0.00456509744575096,0.388265379408978,0.0056392090579164
"9",2015-01-02 09:00:00,2,135.734179052041,135.904585516367,136.552507370125,30.1623476804961,29.4339437572667,28.6852906938897,408.191271938534,86.8375650802213,0.332508864395759,0.00709224569056863,-0.477515389432844,5.35995482211368,0.333413931992251,0.0243528341612079,0.33407720361199,0.0217453209757143,2015-01-02 09:00:00,2,145.732230840236,144.639803637148,146.3522363547,40.0289201936174,38.3389099225549,36.5685029784435,436.724270832085,114.266357412232,0.330658196997616,0.0122170349113459,-2.80485992063968,7.24729824364152,0.333272106633964,0.0215556976270601,0.33606969636842,0.0170216011439398,2015-01-02 09:00:00,2,144.312442003093,144.832531598315,146.455271718842,29.6395959691413,28.5260662333581,27.3240100084618,435.60024532025,84.6730234575808,0.332255964953469,0.00466930909893286,-1.10265052530532,4.49796536471002,0.331275063537718,0.0165498509464876,0.336468971508813,0.0153402607827945
"10",2015-01-02 10:00:00,2,135.626246811371,135.705622680129,135.593085065758,25.3696923929484,26.220801435754,26.7091314809905,406.924954557258,77.6747245829416,0.333219552853723,0.00589381994158019,0.191913483128905,4.22285708514779,0.33473321825532,0.0182219445400223,0.332047228890957,0.0158940304319253,2015-01-02 10:00:00,2,148.955818358368,147.627749739262,148.352566023712,29.3301294242569,29.7603074928432,29.5650444398429,444.936134121342,88.3591419365678,0.331352596789027,0.0101500140151161,-2.05288490355683,5.46664631428574,0.33553311008125,0.0149023298003167,0.333114293129723,0.0101967989633805,2015-01-02 10:00:00,2,142.681051677244,142.948237427337,143.785760759426,23.2408203975387,23.8055753636689,24.0378953064189,429.415049864007,70.7596169932015,0.332712321844641,0.00423728648620325,-0.570337581995627,3.40179500848739,0.332941080157725,0.0117111327721885,0.334346597997635,0.0100333450310875
